The Pearl New York,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,0,0,7,-1,-1,-1,-1,-1,-1,-1,-1
The Chatwal a Luxury Collection Hotel New York City,-1,-1,-1,-1,34,53,71,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,62,81,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quality Inn Convention Center,-1,-1,-1,-1,-1,83,68,-1,-1,-1,-1,-1,43,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,18,18,18,56,59,57,56,-1,18,18,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,72,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,69,78,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,-1,-1,66,-1,-1,-1,-1,57,69,64,-1,-1,56,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,22,33,30,22,-1,-1,58,58,-1,-1,-1,-1
Hilton Manhattan East,53,37,39,50,-1,70,75,70,55,57,42,52,-1,9,8,10,45,46,-1,-1,50,90,-1,82,48,72,54,49,-1,20,43,17,-1,-1,35,33,-1,-1,-1,100,20,25,21,-1,37,42,41,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,69,45,-1,42,42,39,-1,64,57,59,58,-1,4,0,-1,-1,81,85,84,54,-1,-1,-1,-1,77,89,87,-1,69,61,45,54,-1,-1,-1,-1,69,-1,-1,-1,-1,15,13,79,71,42,31,-1,67,83,73,76,77,68,78,-1,-1,-1,-1,75,75,68,90,80,83,77,78,49,39,-1,-1,33,34,26,18,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,14,11,-1,-1,-1,-1
Four Seasons Hotel New York,-1,-1,53,56,-1,37,53,54,49,50,53,56,1,5,-1,-1,52,50,52,61,66,67,56,63,56,44,56,-1,2,7,-1,-1,56,50,53,49,-1,-1,64,-1,-1,-1,53,-1,47,47,57,44,-1,-1,52,61,71,86,84,84,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,56,44,44,47,50,78,37,68,-1,42,40,40,32,-1,-1,-1,-1,63,53,67,66,84,57,64,61,57,44,44,47,47,48,43,-1,-1,78,88,100,32,32,40,35,77,72,67,74,-1,-1,-1,-1,56,43,56,36,44,48,47,49,54,45,64,100,-1,-1,53,54,44,53,50,-1,-1,-1,-1,-1,0,3,-1,-1,74,50,53,58,56,67,60,66,-1,-1,-1,-1,44,70,48,44
Wyndham Garden Brooklyn Sunset Park,-1,31,24,-1,-1,51,53,67,-1,31,-1,-1,40,28,27,-1,56,50,53,-1,-1,72,73,48,-1,24,31,-1,-1,54,-1,-1,-1,-1,31,-1,77,-1,50,56,-1,-1,31,-1,63,58,60,56,-1,-1,63,-1,68,49,-1,-1,-1,31,9,-1,-1,0,-1,-1,-1,31,24,-1,-1,24,31,-1,-1,58,51,67,18,24,31,-1,-1,45,89,-1,-1,53,50,56,-1,72,78,-1,-1,-1,-1,-1,-1,24,15,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,98,-1,-1,-1,83,45,-1,-1,24,18,-1,70,40,45,-1,100,94,-1,-1,18,24,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,45,40,-1,31,24,-1,61,61,-1,-1,-1,21,24,-1
Eventi Hotel a Kimpton Hotel,-1,34,43,44,49,62,68,-1,46,-1,74,75,-1,20,24,22,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,37,41,16,58,55,57,66,79,-1,-1,85,42,38,42,49,-1,-1,-1,-1,84,47,80,76,-1,-1,-1,-1,-1,-1,-1,-1,4,0,7,6,-1,-1,-1,-1,47,42,30,-1,57,61,48,47,31,28,-1,-1,-1,-1,59,65,-1,-1,-1,-1,-1,67,71,77,-1,35,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,-1,-1,-1,42,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,-1,52,66,100,-1,-1,-1,-1,-1,-1,-1,-1,18,16,8,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,13,41,-1,-1,-1,-1
NOMO SOHO,46,51,48,-1,48,53,70,-1,-1,-1,-1,-1,14,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,50,39,-1,-1,-1,-1,-1,52,47,43,-1,-1,-1,-1,34,38,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,60,66,-1,-1,21,-1,-1,-1,-1,-1,-1,69,59,59,-1,-1,-1,-1,27,-1,59,54,50,0,-1,-1,-1,-1,56,61,-1,-1,-1,-1,-1,100,65,70,-1,-1,-1,-1,-1,-1,-1,28,23,39,43,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,39,-1,-1,-1,-1,48,64,53,-1,-1,6,3,0,-1,-1,-1,-1,-1,-1,-1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Courtyard by Marriott New York City Manhattan Fifth Avenue,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,27,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,17,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,57,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,16,-1,-1,-1,-1
SIXTY Lower East Side,-1,43,-1,-1,-1,98,-1,-1,-1,51,-1,-1,-1,12,-1,-1,-1,78,-1,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,48,-1,-1,70,73,-1,-1,35,37,-1,-1,75,78,-1,-1,51,54,-1,-1,-1,-1,-1,-1,23,28,23,23,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,71,74,-1,-1,1,2,-1,0,-1,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,76,-1,-1,-1,-1,-1,-1,69,72,-1,-1,21,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,94,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1
